Country_Code,Year,Traffic_Deaths,Population,GDP_Per_Capita,Alcohol_Per_Capita,Death_Rate_Per_100k
HND,2008,1070,8012587.0,1732.49062702803,3.28,13.353989167293909
HND,2009,1063,8189899.0,1781.15703614674,3.19,12.979403042699307
HND,2010,1057,8365878.0,1893.32722662035,3.13,12.634657115487459
HND,2011,1045,8540583.0,2073.66121088074,3.1,12.235698663662657
HND,2012,1000,8715076.0,2126.03474686503,3.1,11.474369242448374
HND,2013,1021,8889278.0,2081.12843527945,2.99,11.48574721141582
HND,2014,1045,9063122.0,2179.88171977271,2.91,11.530243110486651
HND,2015,1066,9237305.0,2271.20265980349,2.85,11.54016241750164
HND,2016,1090,9412380.0,2307.34468351082,2.94,11.58049292527501
HND,2017,1116,9588137.0,2413.0076562942,3.06,11.639383125209829
HND,2018,1142,9765210.0,2464.64241531918,3.17,11.694576972743034
HND,2019,1166,9943633.0,2502.32744328073,3.17,11.726096488074328
HUN,2000,1549,10210971.0,4629.91760812548,12.38,15.169957881576591
HUN,2001,1507,10187576.0,5280.94887987063,12.38,14.79252768273827
HUN,2002,1537,10158608.0,6658.04494326809,12.67,15.130025688558904
HUN,2003,1537,10129552.0,8410.09248198479,12.69,15.173425241313732
HUN,2004,1501,10107146.0,10291.2694721409,12.59,14.850878774285047
HUN,2005,1486,10087065.0,11212.2046968994,12.58,14.731738122040456
HUN,2006,1410,10071370.0,11478.4891640501,12.36,14.000081418913217
HUN,2007,1348,10055780.0,13934.605460375,12.01,13.405225651316956
HUN,2008,1215,10038188.0,15762.6322515113,11.5,12.103778092221425
HUN,2009,1126,10022650.0,13051.1831777184,10.95,11.23455373578844
HUN,2010,1017,10000023.0,13189.8433874768,10.84,10.1699766090538
HUN,2011,943,9971727.0,14211.460557822,10.72,9.456737032612304
HUN,2012,896,9920362.0,12950.1594488143,10.72,9.031928471965035
HUN,2013,839,9872734.0,13739.4620151401,10.58,8.498152588735806
HUN,2014,824,9833038.0,14352.501883174,10.52,8.379912698394941
HUN,2015,840,9797755.0,12782.9412577973,10.68,8.573392578197762
HUN,2016,816,9759755.0,13215.8605277789,10.63,8.360865615991386
HUN,2017,817,9726756.0,14736.1668157258,10.75,8.399511615177763
HUN,2018,815,9706964.0,16605.0570511887,10.6,8.396034022584198
HUN,2019,803,9694824.0,17012.8598553199,10.6,8.282770269991492
ISL,2000,21,281205.0,32503.578963236,6.92,7.467861524510589
ISL,2001,20,284968.0,29208.1981853568,6.92,7.018331882878077
ISL,2002,18,287523.0,32749.379004627,7.04,6.260368735718534
ISL,2003,17,289521.0,39944.2104095591,7.16,5.871767505638624
ISL,2004,16,292074.0,47809.6073050042,7.32,5.47806377835754
ISL,2005,16,296734.0,57783.7745608117,7.52,5.39203461686224
ISL,2006,15,303782.0,58172.1426656622,7.78,4.937751413842822
ISL,2007,15,311566.0,70483.0117228535,7.81,4.814389246580179
